assetPath,displayName,prefabName,category,role,rendererName,materialName,colorHex,colorName
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Scarred Shield 02.asset","Scarred Shield 02","Weapon_Shield_14","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Scarred Shield.asset","Scarred Shield","Weapon_Shield_11","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Scarred Tower Shield.asset","Scarred Tower Shield","Weapon_Shield_Long_11","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Sheathed Rapier.asset","Sheathed Rapier","Weapon_Sword_Rapier_Cover_01","Rapier","blade","Weapon Model","FantasyHero","404A4C","palette of muted cyan, brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Sheathed Short Sword.asset","Sheathed Short Sword","Weapon_Sword_Small_Cover_01","Sword","blade","Weapon Model","FantasyHero","404A4C","palette of muted cyan, dark red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Sheathed Sword.asset","Sheathed Sword","Weapon_Sword_Cover_01","Sword","blade","Weapon Model","FantasyHero","404A4C","palette of muted cyan, dark red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Short Sword.asset","Short Sword","Weapon_Sword_Small_01","Sword","blade","Weapon Model","FantasyHero","404A4C","palette of muted cyan, brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Spiked Mace.asset","Spiked Mace","Weapon_Mace_02","Polearm","shaft","Weapon Model","FantasyHero","404A4C","palette of muted cyan, dark red, brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Split Shield.asset","Split Shield","Weapon_Shield_06","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Split Tower Shield.asset","Split Tower Shield","Weapon_Shield_Long_06","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Sword.asset","Sword","Weapon_Sword_01","Sword","blade","Weapon Model","FantasyHero","404A4C","palette of muted cyan, brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Templar Shield.asset","Templar Shield","Weapon_Shield_15","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, muted cyan, dark red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Templar Tower Shield.asset","Templar Tower Shield","Weapon_Shield_Long_08","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Throwing Knife.asset","Throwing Knife","Weapon_ThowingKnife_01","Dagger","blade","Weapon Model","FantasyHero","261F1A","brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/War Staff.asset","War Staff","Weapon_Staff_01","Focus","body","Weapon Model","FantasyHero","404A4C","palette of muted cyan, brown, orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Weathered Shield.asset","Weathered Shield","Weapon_Shield_13","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Weathered Tower Shield 02.asset","Weathered Tower Shield 02","Weapon_Shield_Long_14","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Weathered Tower Shield.asset","Weathered Tower Shield","Weapon_Shield_Long_13","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Reaper Scythe.asset","Reaper Scythe","Weapon_PP_Theme_04_Scythe_001","Scythe","shaft","Weapon Model","PP_Standard_Material","6CC4FF","palette of pale cyan, muted cyan, gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Short Sword.asset","Short Sword","Weapon_Straight_Sword_01","Shield","shield face","Weapon Model","lambert2","BCBCBC","gray"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Straight Sword.asset","Straight Sword","Weapon_Straight_Sword_01","Sword","blade","Weapon Model","lambert2","BCBCBC","gray"
"Assets/Game/Data/Items/Weapons/Ranged Weapons/Hunting Bow.asset","Hunting Bow","Weapon_Bow_01","Bow","limb","SM_Prop_Bow_Rigged_01","FantasyHero","22170F","palette of dark orange, gold"
