name,assetPath,previewPath,weaponClass,weaponModelType,promptCategory,prompt
"Hammer","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hammer.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Hammer.png","StraightSword","Weapon","blunt","Create a single game inventory icon PNG of 'Hammer'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, handle thickness, head size, head silhouette, and all major spikes or stone masses from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal, wood, or leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the weapon. Do not enlarge the head, do not add more spikes, stones, wraps, pendants, cracks, or painterly details than shown in the prefab reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Hand Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hand Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Hand Axe.png","StraightSword","Weapon","axe","Create a single game inventory icon PNG of 'Hand Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, blade size, blade angle, and head silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal, wood, or leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the axe. Do not widen the blade, do not curve the handle, do not add extra spikes, engravings, or painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Heater Shield 01","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Heater Shield 01.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Heater Shield 01.png","MediumShield","Shield","shield","Create a single game inventory icon PNG of 'Heater Shield 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shield outline, face shape, width, rim thickness, and strap-side mass distribution from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal and leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the shield. Do not add filigree, extra crests, extra spikes, extra dents, cloth, or painterly texture. Do not round the silhouette. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Heater Shield 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Heater Shield 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Heater Shield 02.png","MediumShield","Shield","shield","Create a single game inventory icon PNG of 'Heater Shield 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shield outline, face shape, width, rim thickness, and strap-side mass distribution from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal and leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the shield. Do not add filigree, extra crests, extra spikes, extra dents, cloth, or painterly texture. Do not round the silhouette. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Metal Glaive","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Glaive.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Metal Glaive.png","Spear","Weapon","polearm","Create a single game inventory icon PNG of 'Metal Glaive'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shaft length, shaft thickness, head size, head placement, and tip silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal, wood, or leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the polearm. Do not change shaft length, do not enlarge the head, do not add banners, hooks, tassels, or ornaments unless already visible in the reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Metal Great Hammer 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Great Hammer 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Metal Great Hammer 02.png","StraightSword","Weapon","blunt","Create a single game inventory icon PNG of 'Metal Great Hammer 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, handle thickness, head size, head silhouette, and all major spikes or stone masses from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal, wood, or leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the weapon. Do not enlarge the head, do not add more spikes, stones, wraps, pendants, cracks, or painterly details than shown in the prefab reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Metal Great Hammer","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Great Hammer.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Metal Great Hammer.png","StraightSword","Weapon","blunt","Create a single game inventory icon PNG of 'Metal Great Hammer'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, handle thickness, head size, head silhouette, and all major spikes or stone masses from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal, wood, or leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the weapon. Do not enlarge the head, do not add more spikes, stones, wraps, pendants, cracks, or painterly details than shown in the prefab reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Ornate Axe 01","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Axe 01.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Axe 01.png","StraightSword","Weapon","axe","Create a single game inventory icon PNG of 'Ornate Axe 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, blade size, blade angle, and head silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Keep heraldic ornament broad and simplified, never intricate. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the axe. Do not widen the blade, do not curve the handle, do not add extra spikes, engravings, or painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Ornate Axe 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Axe 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Axe 02.png","StraightSword","Weapon","axe","Create a single game inventory icon PNG of 'Ornate Axe 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, blade size, blade angle, and head silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Keep heraldic ornament broad and simplified, never intricate. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the axe. Do not widen the blade, do not curve the handle, do not add extra spikes, engravings, or painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Ornate Great Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Great Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Great Axe.png","StraightSword","Weapon","axe","Create a single game inventory icon PNG of 'Ornate Great Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, blade size, blade angle, and head silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Keep heraldic ornament broad and simplified, never intricate. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the axe. Do not widen the blade, do not curve the handle, do not add extra spikes, engravings, or painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Ornate Long Pike","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Long Pike.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Long Pike.png","Spear","Weapon","polearm","Create a single game inventory icon PNG of 'Ornate Long Pike'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shaft length, shaft thickness, head size, head placement, and tip silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Keep heraldic ornament broad and simplified, never intricate. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the polearm. Do not change shaft length, do not enlarge the head, do not add banners, hooks, tassels, or ornaments unless already visible in the reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Ornate Pike","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Pike.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Pike.png","Spear","Weapon","polearm","Create a single game inventory icon PNG of 'Ornate Pike'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shaft length, shaft thickness, head size, head placement, and tip silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Keep heraldic ornament broad and simplified, never intricate. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the polearm. Do not change shaft length, do not enlarge the head, do not add banners, hooks, tassels, or ornaments unless already visible in the reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Ornate Shield 01","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Shield 01.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Shield 01.png","MediumShield","Shield","shield","Create a single game inventory icon PNG of 'Ornate Shield 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shield outline, face shape, width, rim thickness, and strap-side mass distribution from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Keep heraldic ornament broad and simplified, never intricate. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the shield. Do not add filigree, extra crests, extra spikes, extra dents, cloth, or painterly texture. Do not round the silhouette. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Ornate Shield 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Shield 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Shield 02.png","MediumShield","Shield","shield","Create a single game inventory icon PNG of 'Ornate Shield 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shield outline, face shape, width, rim thickness, and strap-side mass distribution from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Keep heraldic ornament broad and simplified, never intricate. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the shield. Do not add filigree, extra crests, extra spikes, extra dents, cloth, or painterly texture. Do not round the silhouette. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Ornate Spear","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Spear.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Spear.png","Spear","Weapon","polearm","Create a single game inventory icon PNG of 'Ornate Spear'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shaft length, shaft thickness, head size, head placement, and tip silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Keep heraldic ornament broad and simplified, never intricate. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the polearm. Do not change shaft length, do not enlarge the head, do not add banners, hooks, tassels, or ornaments unless already visible in the reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Ornate Sword 01","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Sword 01.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Sword 01.png","StraightSword","Weapon","sword","Create a single game inventory icon PNG of 'Ornate Sword 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact blade length, blade width, guard silhouette, grip length, and pommel silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Keep heraldic ornament broad and simplified, never intricate. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the sword. Do not change proportions, do not add extra ornaments, and do not add painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Ornate Sword 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Sword 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Sword 02.png","StraightSword","Weapon","sword","Create a single game inventory icon PNG of 'Ornate Sword 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact blade length, blade width, guard silhouette, grip length, and pommel silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Keep heraldic ornament broad and simplified, never intricate. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the sword. Do not change proportions, do not add extra ornaments, and do not add painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Plank Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Plank Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Plank Shield.png","LightShield","Shield","shield","Create a single game inventory icon PNG of 'Plank Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shield outline, face shape, width, rim thickness, and strap-side mass distribution from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use broad simple wood planes, no detailed grain illustration. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the shield. Do not add filigree, extra crests, extra spikes, extra dents, cloth, or painterly texture. Do not round the silhouette. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Round Greatsword","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Round Greatsword.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Round Greatsword.png","StraightSword","Weapon","greatsword","Create a single game inventory icon PNG of 'Round Greatsword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact blade length, blade width, guard silhouette, grip length, and pommel silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal, wood, or leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the greatsword. Do not change proportions, do not add extra ornaments, and do not add painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Round Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Round Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Round Shield.png","MediumShield","Shield","shield","Create a single game inventory icon PNG of 'Round Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shield outline, face shape, width, rim thickness, and strap-side mass distribution from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal and leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the shield. Do not add filigree, extra crests, extra spikes, extra dents, cloth, or painterly texture. Do not round the silhouette. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Runed Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Runed Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Runed Axe.png","StraightSword","Weapon","axe","Create a single game inventory icon PNG of 'Runed Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, blade size, blade angle, and head silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Keep rune markings very sparse and geometric. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the axe. Do not widen the blade, do not curve the handle, do not add extra spikes, engravings, or painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Skull Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Skull Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Skull Shield.png","LightShield","Shield","shield","Create a single game inventory icon PNG of 'Skull Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shield outline, face shape, width, rim thickness, and strap-side mass distribution from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use very simple low-poly bone forms, flat planes, minimal shading, and primitive wrappings. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the shield. Do not add filigree, extra crests, extra spikes, extra dents, cloth, or painterly texture. Do not round the silhouette. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Spear 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spear 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Spear 02.png","Spear","Weapon","polearm","Create a single game inventory icon PNG of 'Spear 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shaft length, shaft thickness, head size, head placement, and tip silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal, wood, or leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the polearm. Do not change shaft length, do not enlarge the head, do not add banners, hooks, tassels, or ornaments unless already visible in the reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Spear","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spear.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Spear.png","Spear","Weapon","polearm","Create a single game inventory icon PNG of 'Spear'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shaft length, shaft thickness, head size, head placement, and tip silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal, wood, or leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the polearm. Do not change shaft length, do not enlarge the head, do not add banners, hooks, tassels, or ornaments unless already visible in the reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Sphere Mace","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Sphere Mace.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Sphere Mace.png","StraightSword","Weapon","blunt","Create a single game inventory icon PNG of 'Sphere Mace'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, handle thickness, head size, head silhouette, and all major spikes or stone masses from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal, wood, or leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the weapon. Do not enlarge the head, do not add more spikes, stones, wraps, pendants, cracks, or painterly details than shown in the prefab reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Spiked Goblin Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Goblin Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Spiked Goblin Axe.png","StraightSword","Weapon","polearm","Create a single game inventory icon PNG of 'Spiked Goblin Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shaft length, shaft thickness, head size, head placement, and tip silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use crude low-poly scavenged shapes with uneven but simple large forms. Keep spikes few, large, and exactly positioned like the prefab silhouette. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the polearm. Do not change shaft length, do not enlarge the head, do not add banners, hooks, tassels, or ornaments unless already visible in the reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
