assetPath,currentObjectName,currentDisplayName,suggestedDisplayName,itemType,weaponClass,weaponModelType,prefabName,meshNames,previewPath,namingNotes
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Mace.asset","Spiked Mace","Spiked Mace","Mace","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Hammer_Mace_Spikes_01","SM_Wep_Hammer_Mace_Spikes_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Spiked Mace.png","source='Spiked Mace', prefab='Weapon_Dungeon_Hammer_Mace_Spikes_01', type='Mace', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Shield.asset","Spiked Shield","Spiked Shield","Spiked Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Dungeon_Shield_Spike_01","SM_Wep_Shield_Spike_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Spiked Shield.png","source='Spiked Shield', prefab='Weapon_Dungeon_Shield_Spike_01', type='Spiked Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Stone Goblin Shiv.asset","Stone Goblin Shiv","Stone Goblin Shiv","Goblin Shiv","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Goblin_Shiv_Stone_01","SM_Wep_Goblin_Shiv_Stone_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Stone Goblin Shiv.png","source='Stone Goblin Shiv', prefab='Weapon_Dungeon_Goblin_Shiv_Stone_01', type='Shiv', descriptor='Goblin'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Stone Great Hammer.asset","Stone Great Hammer","Stone Great Hammer","Hammer","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Hammer_Large_Stone_01","SM_Wep_Hammer_Large_Stone_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Stone Great Hammer.png","source='Stone Great Hammer', prefab='Weapon_Dungeon_Hammer_Large_Stone_01', type='Hammer', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Stone Mace.asset","Stone Mace","Stone Mace","Mace","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Hammer_Mace_Stone_01","SM_Wep_Hammer_Mace_Stone_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Stone Mace.png","source='Stone Mace', prefab='Weapon_Dungeon_Hammer_Mace_Stone_01', type='Mace', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Straight Greatsword.asset","Straight Greatsword","Straight Greatsword","Greatsword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Greatsword_Straight_01","SM_Wep_Greatsword_Straight_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Straight Greatsword.png","source='Straight Greatsword', prefab='Weapon_Dungeon_Greatsword_Straight_01', type='Greatsword', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Straight Sword.asset","Straight Sword","Straight Sword","Straight Sword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Straightsword_01","SM_Wep_Straightsword_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Straight Sword.png","source='Straight Sword', prefab='Weapon_Dungeon_Straightsword_01', type='Straight Sword', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Verdant Axe.asset","Verdant Axe","Verdant Axe","Verdant Axe","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Axe_Nature_01","SM_Wep_Axe_Nature_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Verdant Axe.png","source='Verdant Axe', prefab='Weapon_Dungeon_Axe_Nature_01', type='Axe', descriptor='Verdant'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 01.asset","War Banner 01","War Banner 01","War Banner","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Banner_01","SM_Wep_Banner_01","Assets/Game/Docs/WeaponPreviewExports/Previews/War Banner 01.png","source='War Banner 01', prefab='Weapon_Dungeon_Banner_01', type='Banner', descriptor='War'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 02.asset","War Banner 02","War Banner 02","War Banner","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Banner_02","SM_Wep_Banner_02","Assets/Game/Docs/WeaponPreviewExports/Previews/War Banner 02.png","source='War Banner 02', prefab='Weapon_Dungeon_Banner_02', type='Banner', descriptor='War'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 03.asset","War Banner 03","War Banner 03","War Banner","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Banner_03","SM_Wep_Banner_03","Assets/Game/Docs/WeaponPreviewExports/Previews/War Banner 03.png","source='War Banner 03', prefab='Weapon_Dungeon_Banner_03', type='Banner', descriptor='War'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 04.asset","War Banner 04","War Banner 04","War Banner","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Banner_04","SM_Wep_Banner_04","Assets/Game/Docs/WeaponPreviewExports/Previews/War Banner 04.png","source='War Banner 04', prefab='Weapon_Dungeon_Banner_04', type='Banner', descriptor='War'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 05.asset","War Banner 05","War Banner 05","War Banner","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Banner_05","SM_Wep_Banner_05","Assets/Game/Docs/WeaponPreviewExports/Previews/War Banner 05.png","source='War Banner 05', prefab='Weapon_Dungeon_Banner_05', type='Banner', descriptor='War'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Wooden Glaive.asset","Wooden Glaive","Wooden Glaive","Spear","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Handle_Wood_01","SM_Wep_Handle_Wood_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Wooden Glaive.png","source='Wooden Glaive', prefab='Weapon_Dungeon_Handle_Wood_01', type='Spear', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Wooden Great Hammer.asset","Wooden Great Hammer","Wooden Great Hammer","Hammer","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Hammer_Large_Wood_01","SM_Wep_Hammer_Large_Wood_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Wooden Great Hammer.png","source='Wooden Great Hammer', prefab='Weapon_Dungeon_Hammer_Large_Wood_01', type='Hammer', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Archer Shield.asset","Archer Shield","Archer Shield","Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_16","SM_Wep_Shield_16","Assets/Game/Docs/WeaponPreviewExports/Previews/Archer Shield.png","source='Archer Shield', prefab='Weapon_Shield_16', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Banded Shield.asset","Banded Shield","Banded Shield","Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Shield_09","SM_Wep_Shield_09","Assets/Game/Docs/WeaponPreviewExports/Previews/Banded Shield.png","source='Banded Shield', prefab='Weapon_Shield_09', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Banded Tower Shield.asset","Banded Tower Shield","Banded Tower Shield","Long Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_Long_09","SM_Wep_Shield_Long_09","Assets/Game/Docs/WeaponPreviewExports/Previews/Banded Tower Shield.png","source='Banded Tower Shield', prefab='Weapon_Shield_Long_09', type='Long Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Beast Crest Shield.asset","Beast Crest Shield","Beast Crest Shield","Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Shield_02","SM_Wep_Shield_02","Assets/Game/Docs/WeaponPreviewExports/Previews/Beast Crest Shield.png","source='Beast Crest Shield', prefab='Weapon_Shield_02', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Beast Tower Shield.asset","Beast Tower Shield","Beast Tower Shield","Long Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_Long_02","SM_Wep_Shield_Long_02","Assets/Game/Docs/WeaponPreviewExports/Previews/Beast Tower Shield.png","source='Beast Tower Shield', prefab='Weapon_Shield_Long_02', type='Long Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Chevron Tower Shield.asset","Chevron Tower Shield","Chevron Tower Shield","Long Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_Long_15","SM_Wep_Shield_Long_15","Assets/Game/Docs/WeaponPreviewExports/Previews/Chevron Tower Shield.png","source='Chevron Tower Shield', prefab='Weapon_Shield_Long_15', type='Long Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Cross Shield 02.asset","Cross Shield 02","Cross Shield 02","Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_17","SM_Wep_Shield_17","Assets/Game/Docs/WeaponPreviewExports/Previews/Cross Shield 02.png","source='Cross Shield 02', prefab='Weapon_Shield_17', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Cross Shield.asset","Cross Shield","Cross Shield","Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Shield_05","SM_Wep_Shield_05","Assets/Game/Docs/WeaponPreviewExports/Previews/Cross Shield.png","source='Cross Shield', prefab='Weapon_Shield_05', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Cross Tower Shield.asset","Cross Tower Shield","Cross Tower Shield","Long Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_Long_05","SM_Wep_Shield_Long_05","Assets/Game/Docs/WeaponPreviewExports/Previews/Cross Tower Shield.png","source='Cross Tower Shield', prefab='Weapon_Shield_Long_05', type='Long Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crown Shield 02.asset","Crown Shield 02","Crown Shield 02","Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_20","SM_Wep_Shield_20","Assets/Game/Docs/WeaponPreviewExports/Previews/Crown Shield 02.png","source='Crown Shield 02', prefab='Weapon_Shield_20', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crown Shield.asset","Crown Shield","Crown Shield","Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Shield_04","SM_Wep_Shield_04","Assets/Game/Docs/WeaponPreviewExports/Previews/Crown Shield.png","source='Crown Shield', prefab='Weapon_Shield_04', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crown Tower Shield.asset","Crown Tower Shield","Crown Tower Shield","Long Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_Long_04","SM_Wep_Shield_Long_04","Assets/Game/Docs/WeaponPreviewExports/Previews/Crown Tower Shield.png","source='Crown Tower Shield', prefab='Weapon_Shield_Long_04', type='Long Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crusader Shield.asset","Crusader Shield","Crusader Shield","Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Shield_08","SM_Wep_Shield_08","Assets/Game/Docs/WeaponPreviewExports/Previews/Crusader Shield.png","source='Crusader Shield', prefab='Weapon_Shield_08', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Dagger.asset","Dagger","Dagger","Dagger","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dagger_01","SM_Wep_Dagger_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Dagger.png","source='Dagger', prefab='Weapon_Dagger_01', type='Dagger', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Fleur Shield 02.asset","Fleur Shield 02","Fleur Shield 02","Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_19","SM_Wep_Shield_19","Assets/Game/Docs/WeaponPreviewExports/Previews/Fleur Shield 02.png","source='Fleur Shield 02', prefab='Weapon_Shield_19', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Fleur Shield.asset","Fleur Shield","Fleur Shield","Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Shield_03","SM_Wep_Shield_03","Assets/Game/Docs/WeaponPreviewExports/Previews/Fleur Shield.png","source='Fleur Shield', prefab='Weapon_Shield_03', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Fleur Tower Shield.asset","Fleur Tower Shield","Fleur Tower Shield","Long Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_Long_03","SM_Wep_Shield_Long_03","Assets/Game/Docs/WeaponPreviewExports/Previews/Fleur Tower Shield.png","source='Fleur Tower Shield', prefab='Weapon_Shield_Long_03', type='Long Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Greatsword.asset","Greatsword","Greatsword","Greatsword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Sword_Large_01","SM_Wep_Sword_Large_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Greatsword.png","source='Greatsword', prefab='Weapon_Sword_Large_01', type='Greatsword', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Halfcoat Shield.asset","Halfcoat Shield","Halfcoat Shield","Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Shield_07","SM_Wep_Shield_07","Assets/Game/Docs/WeaponPreviewExports/Previews/Halfcoat Shield.png","source='Halfcoat Shield', prefab='Weapon_Shield_07', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Hand Axe.asset","Hand Axe","Hand Axe","Axe","MeleeWeaponItem","StraightSword","Weapon","Weapon_Axe_01","SM_Wep_Axe_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Hand Axe.png","source='Hand Axe', prefab='Weapon_Axe_01', type='Axe', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Herald Tower Shield.asset","Herald Tower Shield","Herald Tower Shield","Long Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_Long_16","SM_Wep_Shield_Long_16","Assets/Game/Docs/WeaponPreviewExports/Previews/Herald Tower Shield.png","source='Herald Tower Shield', prefab='Weapon_Shield_Long_16', type='Long Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Jousting Lance 01.asset","Jousting Lance 01","Jousting Lance 01","Lance","MeleeWeaponItem","Spear","Weapon","Weapon_Joust_01","SM_Wep_Joust_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Jousting Lance 01.png","source='Jousting Lance 01', prefab='Weapon_Joust_01', type='Lance', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Jousting Lance 02.asset","Jousting Lance 02","Jousting Lance 02","Lance","MeleeWeaponItem","Spear","Weapon","Weapon_Joust_02","SM_Wep_Joust_02","Assets/Game/Docs/WeaponPreviewExports/Previews/Jousting Lance 02.png","source='Jousting Lance 02', prefab='Weapon_Joust_02', type='Lance', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Jousting Lance 03.asset","Jousting Lance 03","Jousting Lance 03","Lance","MeleeWeaponItem","Spear","Weapon","Weapon_Joust_03","SM_Wep_Joust_03","Assets/Game/Docs/WeaponPreviewExports/Previews/Jousting Lance 03.png","source='Jousting Lance 03', prefab='Weapon_Joust_03', type='Lance', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Lion Crest Shield 02.asset","Lion Crest Shield 02","Lion Crest Shield 02","Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_18","SM_Wep_Shield_18","Assets/Game/Docs/WeaponPreviewExports/Previews/Lion Crest Shield 02.png","source='Lion Crest Shield 02', prefab='Weapon_Shield_18', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Lion Crest Shield.asset","Lion Crest Shield","Lion Crest Shield","Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Shield_01","SM_Wep_Shield_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Lion Crest Shield.png","source='Lion Crest Shield', prefab='Weapon_Shield_01', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Lion Tower Shield.asset","Lion Tower Shield","Lion Tower Shield","Long Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_Long_01","SM_Wep_Shield_Long_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Lion Tower Shield.png","source='Lion Tower Shield', prefab='Weapon_Shield_Long_01', type='Long Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Long Staff.asset","Long Staff","Long Staff","Staff","MeleeWeaponItem","Spear","Weapon","Weapon_Staff_02","SM_Wep_Staff_02","Assets/Game/Docs/WeaponPreviewExports/Previews/Long Staff.png","source='Long Staff', prefab='Weapon_Staff_02', type='Staff', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Mace 01.asset","Mace 01","Mace 01","Mace","MeleeWeaponItem","StraightSword","Weapon","Weapon_Mace_01","SM_Wep_Mace_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Mace 01.png","source='Mace 01', prefab='Weapon_Mace_01', type='Mace', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Plain Shield.asset","Plain Shield","Plain Shield","Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Shield_12","SM_Wep_Shield_12","Assets/Game/Docs/WeaponPreviewExports/Previews/Plain Shield.png","source='Plain Shield', prefab='Weapon_Shield_12', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Plain Tower Shield 02.asset","Plain Tower Shield 02","Plain Tower Shield 02","Long Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_Long_12","SM_Wep_Shield_Long_12","Assets/Game/Docs/WeaponPreviewExports/Previews/Plain Tower Shield 02.png","source='Plain Tower Shield 02', prefab='Weapon_Shield_Long_12', type='Long Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Plain Tower Shield.asset","Plain Tower Shield","Plain Tower Shield","Long Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_Long_07","SM_Wep_Shield_Long_07","Assets/Game/Docs/WeaponPreviewExports/Previews/Plain Tower Shield.png","source='Plain Tower Shield', prefab='Weapon_Shield_Long_07', type='Long Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Quartered Shield.asset","Quartered Shield","Quartered Shield","Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Shield_10","SM_Wep_Shield_10","Assets/Game/Docs/WeaponPreviewExports/Previews/Quartered Shield.png","source='Quartered Shield', prefab='Weapon_Shield_10', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Quartered Tower Shield.asset","Quartered Tower Shield","Quartered Tower Shield","Long Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_Long_10","SM_Wep_Shield_Long_10","Assets/Game/Docs/WeaponPreviewExports/Previews/Quartered Tower Shield.png","source='Quartered Tower Shield', prefab='Weapon_Shield_Long_10', type='Long Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Rapier.asset","Rapier","Rapier","Rapier","MeleeWeaponItem","StraightSword","Weapon","Weapon_Sword_Rapier_01","SM_Wep_Sword_Rapier_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Rapier.png","source='Rapier', prefab='Weapon_Sword_Rapier_01', type='Rapier', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Round Buckler.asset","Round Buckler","Round Buckler","Buckler","MeleeWeaponItem","LightShield","Shield","Weapon_Shield_Buckler_01","SM_Wep_Shield_Buckler_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Round Buckler.png","source='Round Buckler', prefab='Weapon_Shield_Buckler_01', type='Buckler', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Scarred Shield 02.asset","Scarred Shield 02","Scarred Shield 02","Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_14","SM_Wep_Shield_14","Assets/Game/Docs/WeaponPreviewExports/Previews/Scarred Shield 02.png","source='Scarred Shield 02', prefab='Weapon_Shield_14', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Scarred Shield.asset","Scarred Shield","Scarred Shield","Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Shield_11","SM_Wep_Shield_11","Assets/Game/Docs/WeaponPreviewExports/Previews/Scarred Shield.png","source='Scarred Shield', prefab='Weapon_Shield_11', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Scarred Tower Shield.asset","Scarred Tower Shield","Scarred Tower Shield","Long Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_Long_11","SM_Wep_Shield_Long_11","Assets/Game/Docs/WeaponPreviewExports/Previews/Scarred Tower Shield.png","source='Scarred Tower Shield', prefab='Weapon_Shield_Long_11', type='Long Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Sheathed Rapier.asset","Sheathed Rapier","Sheathed Rapier","Sheathed Rapier","MeleeWeaponItem","StraightSword","Weapon","Weapon_Sword_Rapier_Cover_01","SM_Wep_Sword_Rapier_Cover_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Sheathed Rapier.png","source='Sheathed Rapier', prefab='Weapon_Sword_Rapier_Cover_01', type='Sheathed Rapier', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Sheathed Short Sword.asset","Sheathed Short Sword","Sheathed Short Sword","Sheathed Shortsword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Sword_Small_Cover_01","SM_Wep_Sword_Small_Cover_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Sheathed Short Sword.png","source='Sheathed Short Sword', prefab='Weapon_Sword_Small_Cover_01', type='Sheathed Shortsword', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Sheathed Sword.asset","Sheathed Sword","Sheathed Sword","Sheathed Sword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Sword_Cover_01","SM_Wep_Sword_Cover_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Sheathed Sword.png","source='Sheathed Sword', prefab='Weapon_Sword_Cover_01', type='Sheathed Sword', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Short Sword.asset","Short Sword","Short Sword","Shortsword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Sword_Small_01","SM_Wep_Sword_Small_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Short Sword.png","source='Short Sword', prefab='Weapon_Sword_Small_01', type='Shortsword', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Spiked Mace.asset","Spiked Mace","Spiked Mace","Mace","MeleeWeaponItem","StraightSword","Weapon","Weapon_Mace_02","SM_Wep_Mace_02","Assets/Game/Docs/WeaponPreviewExports/Previews/Spiked Mace.png","source='Spiked Mace', prefab='Weapon_Mace_02', type='Mace', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Split Shield.asset","Split Shield","Split Shield","Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Shield_06","SM_Wep_Shield_06","Assets/Game/Docs/WeaponPreviewExports/Previews/Split Shield.png","source='Split Shield', prefab='Weapon_Shield_06', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Split Tower Shield.asset","Split Tower Shield","Split Tower Shield","Long Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_Long_06","SM_Wep_Shield_Long_06","Assets/Game/Docs/WeaponPreviewExports/Previews/Split Tower Shield.png","source='Split Tower Shield', prefab='Weapon_Shield_Long_06', type='Long Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Sword.asset","Sword","Sword","Sword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Sword_01","SM_Wep_Sword_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Sword.png","source='Sword', prefab='Weapon_Sword_01', type='Sword', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Templar Shield.asset","Templar Shield","Templar Shield","Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_15","SM_Wep_Shield_15","Assets/Game/Docs/WeaponPreviewExports/Previews/Templar Shield.png","source='Templar Shield', prefab='Weapon_Shield_15', type='Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Templar Tower Shield.asset","Templar Tower Shield","Templar Tower Shield","Long Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_Long_08","SM_Wep_Shield_Long_08","Assets/Game/Docs/WeaponPreviewExports/Previews/Templar Tower Shield.png","source='Templar Tower Shield', prefab='Weapon_Shield_Long_08', type='Long Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Throwing Knife.asset","Throwing Knife","Throwing Knife","Weapon","MeleeWeaponItem","StraightSword","Weapon","Weapon_ThowingKnife_01","SM_Wep_ThowingKnife_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Throwing Knife.png","source='Throwing Knife', prefab='Weapon_ThowingKnife_01', type='Weapon', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/War Staff.asset","War Staff","War Staff","War Staff","MeleeWeaponItem","Spear","Weapon","Weapon_Staff_01","SM_Wep_Staff_01","Assets/Game/Docs/WeaponPreviewExports/Previews/War Staff.png","source='War Staff', prefab='Weapon_Staff_01', type='Staff', descriptor='War'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Weathered Shield.asset","Weathered Shield","Weathered Shield","Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Shield_13","SM_Wep_Shield_13","Assets/Game/Docs/WeaponPreviewExports/Previews/Weathered Shield.png","source='Weathered Shield', prefab='Weapon_Shield_13', type='Shield', descriptor=''"
